votes,playerID,yearID,votedBy,ballots,needed,inducted,category,needed_note
393,suzukic01,2025,BBWAA,394,296,Y,Player,NA
342,sabatcc01,2025,BBWAA,394,296,Y,Player,NA
325,wagnebi02,2025,BBWAA,394,296,Y,Player,NA
277,beltrca01,2025,BBWAA,394,296,N,Player,NA
261,jonesan01,2025,BBWAA,394,296,N,Player,NA
157,utleych01,2025,BBWAA,394,296,N,Player,NA
146,rodrial01,2025,BBWAA,394,296,N,Player,NA
135,ramirma02,2025,BBWAA,394,296,N,Player,NA
110,pettian01,2025,BBWAA,394,296,N,Player,NA
81,hernafe02,2025,BBWAA,394,296,N,Player,NA
77,abreubo01,2025,BBWAA,394,296,N,Player,NA
71,rolliji01,2025,BBWAA,394,296,N,Player,NA
70,vizquom01,2025,BBWAA,394,296,N,Player,NA
47,pedrodu01,2025,BBWAA,394,296,N,Player,NA
45,buehrma01,2025,BBWAA,394,296,N,Player,NA
40,rodrifr03,2025,BBWAA,394,296,N,Player,NA
32,wrighda03,2025,BBWAA,394,296,N,Player,NA
20,hunteto01,2025,BBWAA,394,296,N,Player,NA
10,kinslia01,2025,BBWAA,394,296,N,Player,NA
9,martiru01,2025,BBWAA,394,296,N,Player,NA
7,mccanbr01,2025,BBWAA,394,296,N,Player,NA
4,tulowtr01,2025,BBWAA,394,296,N,Player,NA
3,jonesad01,2025,BBWAA,394,296,N,Player,NA
3,grandcu01,2025,BBWAA,394,296,N,Player,NA
2,gonzaca01,2025,BBWAA,394,296,N,Player,NA
0,zobribe01,2025,BBWAA,394,296,N,Player,NA
0,rodnefe01,2025,BBWAA,394,296,N,Player,NA
0,ramirha01,2025,BBWAA,394,296,N,Player,NA
406,aaronha01,1982,BBWAA,415,312,Y,Player,NA
13,abbotji01,2005,BBWAA,516,387,N,Player,NA
22,abreubo01,2020,BBWAA,397,298,N,Player,NA
35,abreubo01,2021,BBWAA,401,301,N,Player,NA
34,abreubo01,2022,BBWAA,394,296,N,Player,NA
60,abreubo01,2023,BBWAA,389,292,N,Player,NA
57,abreubo01,2024,BBWAA,385,289,N,Player,NA
8,adamsba01,1937,BBWAA,201,151,N,Player,NA
11,adamsba01,1938,BBWAA,262,197,N,Player,NA
11,adamsba01,1939,BBWAA,274,206,N,Player,NA
11,adamsba01,1942,BBWAA,233,175,N,Player,NA
7,adamsba01,1945,BBWAA,247,186,N,Player,NA
6,adamsba01,1946,Nominating Vote,202,NA,N,Player,Players in top 20 proceed to final ballot
22,adamsba01,1947,BBWAA,161,121,N,Player,NA
4,adamsba01,1948,BBWAA,121,91,N,Player,NA
5,adamsba01,1949,BBWAA,153,115,N,Player,NA
6,adamsba01,1950,BBWAA,168,126,N,Player,NA
12,adamsba01,1951,BBWAA,226,170,N,Player,NA
9,adamsba01,1952,BBWAA,234,176,N,Player,NA
17,adamsba01,1953,BBWAA,264,198,N,Player,NA
13,adamsba01,1954,BBWAA,252,189,N,Player,NA
24,adamsba01,1955,BBWAA,251,189,N,Player,NA
NA,adamsba01,1957,Veterans,NA,NA,N,Player,NA
NA,adamsba01,1959,Veterans,NA,NA,N,Player,NA
NA,adamsba01,1961,Veterans,NA,NA,N,Player,Preliminary poll
NA,adamsba01,1962,Veterans,NA,NA,N,Player,Preliminary poll
NA,adamsba01,1963,Veterans,NA,NA,N,Player,Group A - Holdover from 1962 ballot - two could be elected from Group A
NA,adamsba01,1964,Veterans,NA,NA,N,Player,NA
NA,adamsba01,1980,Veterans,NA,NA,N,Player,NA
NA,adamsba01,1982,Veterans,NA,NA,N,Player,NA
NA,adamsba01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,adamsba01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,adamsba01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,adamsbo03,1966,BBWAA,302,227,N,Player,NA
10,adamsdo99,2016,Veterans - Pre-Integration Era,16,12,N,Pioneer,NA
1,adamssp01,1958,BBWAA,266,200,N,Player,NA
1,adamssp01,1960,BBWAA,269,202,N,Player,NA
NA,adcocjo01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,adcocjo01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,adcocjo01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
0,ageeto01,1979,BBWAA,432,324,N,Player,NA
3,aguilri01,2006,BBWAA,520,390,N,Player,NA
0,akerja01,1980,BBWAA,385,289,N,Player,NA
0,alexado01,1995,BBWAA,460,345,N,Player,NA
55,alexape01,1936,BBWAA,226,170,N,Player,NA
125,alexape01,1937,BBWAA,201,151,N,Player,NA
212,alexape01,1938,BBWAA,262,197,Y,Player,NA
0,allenbe01,1979,BBWAA,432,324,N,Player,NA
14,allendi01,1983,BBWAA,374,281,N,Player,NA
28,allendi01,1985,BBWAA,395,297,N,Player,NA
41,allendi01,1986,BBWAA,425,319,N,Player,NA
55,allendi01,1987,BBWAA,413,310,N,Player,NA
52,allendi01,1988,BBWAA,427,321,N,Player,NA
35,allendi01,1989,BBWAA,447,336,N,Player,NA
58,allendi01,1990,BBWAA,444,333,N,Player,NA
59,allendi01,1991,BBWAA,443,333,N,Player,NA
69,allendi01,1992,BBWAA,430,323,N,Player,NA
70,allendi01,1993,BBWAA,423,318,N,Player,NA
66,allendi01,1994,BBWAA,456,342,N,Player,NA
72,allendi01,1995,BBWAA,460,345,N,Player,NA
89,allendi01,1996,BBWAA,470,353,N,Player,NA
79,allendi01,1997,BBWAA,473,353,N,Player,NA
13,allendi01,2003,Veterans - Players,81,61,N,Player,NA
12,allendi01,2005,Veterans - Players,80,60,N,Player,NA
11,allendi01,2007,Veterans - Players,84,62,N,Player,NA
7,allendi01,2009,Veterans - 1943 and Later,64,48,N,Player,NA
11,allendi01,2015,Veterans - Golden Era,16,12,N,Player,NA
11,allendi01,2022,Veterans - Golden Age Era,16,12,N,Player,NA
1,allenjo02,1955,BBWAA,251,189,N,Player,NA
NA,allenjo02,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,allenne02,2006,Negro League,NA,NA,N,Player,NA
0,alleyge01,1979,BBWAA,432,324,N,Player,NA
1,allisdo01,1936,Veterans,78,59,N,Player,NA
397,alomaro01,2010,BBWAA,539,405,N,Player,NA
523,alomaro01,2011,BBWAA,581,436,Y,Player,NA
16,alomasa02,2013,BBWAA,569,427,N,Player,NA
3,aloufe01,1980,BBWAA,385,289,N,Player,NA
NA,aloufe01,2003,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,aloufe01,2005,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
NA,aloufe01,2007,Veterans - Players,NA,NA,N,Player,Preliminary ballot (200 players)
1,alouje01,1985,BBWAA,395,297,N,Player,NA
5,alouma01,1980,BBWAA,385,289,N,Player,NA
6,aloumo01,2014,BBWAA,571,429,N,Player,NA
NA,alstowa01,1979,Veterans,NA,NA,N,Manager,At least 1 vote
NA,alstowa01,1980,Veterans,NA,NA,N,Manager,Finalist
NA,alstowa01,1981,Veterans,NA,NA,N,Manager,NA
NA,alstowa01,1982,Veterans,NA,NA,N,Manager,NA
NA,alstowa01,1983,Veterans,NA,NA,Y,Manager,NA
3,altroni01,1937,BBWAA,201,151,N,Player,NA
7,altroni01,1938,BBWAA,262,197,N,Player,NA
6,altroni01,1939,BBWAA,274,206,N,Player,NA
1,altroni01,1953,BBWAA,264,198,N,Player,NA
2,altroni01,1954,BBWAA,252,189,N,Player,NA
1,altroni01,1956,BBWAA,193,145,N,Player,NA
20,altroni01,1958,BBWAA,266,200,N,Player,NA
18,altroni01,1960,BBWAA,269,202,N,Player,NA
0,anderbr01,2008,BBWAA,543,408,N,Player,NA
